theta_deg,c2X_position_mm,gap_position_mm,c2X_velocity_mm_per_deg,gap_velocity_mm_per_deg
1.112612612612612573e+01,5.182168695396607205e+01,1.019155252817378710e+01,-4.598965094571516588e+00,3.498215143850706699e-02
1.117117117117117076e+01,5.161536711382130704e+01,1.019313169487745974e+01,-4.561711059972558324e+00,3.513286910324926043e-02
1.121621621621621578e+01,5.141071526859343521e+01,1.019471765322298396e+01,-4.524904916210924277e+00,3.528370042496405123e-02
1.126126126126126081e+01,5.120771140464339766e+01,1.019631040834197933e+01,-4.488539511171670604e+00,3.543464593390947825e-02
1.130630630630630584e+01,5.100633582728413984e+01,1.019790996538997696e+01,-4.452607834927770902e+00,3.558570616126371933e-02
1.135135135135135087e+01,5.080656915445229771e+01,1.019951632954645504e+01,-4.417103016361445533e+00,3.573688163912991378e-02
1.139639639639639590e+01,5.060839231052976572e+01,1.020112950601487611e+01,-4.382018319878747015e+00,3.588817290054086701e-02
1.144144144144144093e+01,5.041178652031139507e+01,1.020274950002274217e+01,-4.347347142214537108e+00,3.603958047946392851e-02
1.148648648648648596e+01,5.021673330311452332e+01,1.020437631682162127e+01,-4.313083009324986783e+00,3.619110491080575892e-02
1.153153153153153099e+01,5.002321446702654839e+01,1.020600996168720265e+01,-4.279219573364879459e+00,3.634274673041717335e-02
1.157657657657657602e+01,4.983121210328690864e+01,1.020765043991933219e+01,-4.245750609747092952e+00,3.649450647509795004e-02
1.162162162162162105e+01,4.964070858079958981e+01,1.020929775684205865e+01,-4.212670014281695963e+00,3.664638468260174309e-02
1.166666666666666607e+01,4.945168654077284742e+01,1.021095191780367273e+01,-4.179971800392224601e+00,3.679838189164091888e-02
1.171171171171171110e+01,4.926412889148254237e+01,1.021261292817675859e+01,-4.147650096406755083e+00,3.695049864189138555e-02
1.175675675675675613e+01,4.907801880315597032e+01,1.021428079335822581e+01,-4.115699142921496190e+00,3.710273547399762367e-02
1.180180180180180116e+01,4.889333970297272458e+01,1.021595551876936270e+01,-4.084113290234681060e+00,3.725509292957751573e-02
